01	corpus/services/README.md:55	ASSERTION	CITED	PLAIN	index table row still asserts Next.js 16 monorepo on Vercel + the three app packages; row carries a markdown link
02	corpus/services/academy-backend.md:90	ASSERTION	UNCITED	PLAIN	names the academy GraphQL queries and their self-only-unless-@public gating; the sub-bullet itself pins no file (parent bullet does)
03	corpus/services/ai-labs.md:76	ASSERTION	UNCITED	PLAIN	continuation of "every mutation in one ent.WithTx under privacy.Allow" - a checkable code fact; bullet cites only symbol names
04	corpus/services/ai-readiness.md:202	NOT-ASSERTION	n-a	n-a	blank line between the intro sentence and the data-model table
05	corpus/services/ai-readiness.md:391	ASSERTION	CITED	PLAIN	narrative cache calls GPT-5-Mini on miss and FE falls back to static; paragraph cites aireadiness/narrative.go
06	corpus/services/ant-academy.md:2	NOT-ASSERTION	n-a	n-a	blank line after the H1
07	corpus/services/ant-academy.md:16	NOT-ASSERTION	n-a	n-a	section heading "### Service Overview" - names a section, asserts nothing
08	corpus/services/ant-academy.md:70	ASSERTION	CITED	PLAIN	writes go straight to the cross-origin GraphQL endpoint with a Clerk Bearer token; block pins store.js lines + ref 22df69dd
09	corpus/services/ant-academy.md:230	ASSERTION	CITED	PLAIN	the demo-config includes a code/.env.local overlay setting REQUIRE_ORGANIZATION_MEMBERSHIP=0; block pins ant-academy.sh lines
10	corpus/services/ant-academy.md:246	ASSERTION	CITED	PLAIN	ant-academy.sh verifies /library renders real course cards before keeping the process; block pins the script + autoverify.sh
11	corpus/services/askengine.md:83	ASSERTION	CITED	PLAIN	continuation of the Downstream list - askengine depends on GetTalkToDataCustomRules and internal/authorization; bullet has a md link
12	corpus/services/askengine.md:114	ASSERTION	CITED	PLAIN	continuation of "needs an embeddings provider for the shared ai client"; enclosing paragraph pins main.go:229 and bedrock.go:161
13	corpus/services/backend.md:22	ASSERTION	CITED	PLAIN	the federation composes ONE subgraph and cms-in-app was the 3-to-1 step; bullet carries sha 915da06 + schemas/cms.graphqls
14	corpus/services/backend.md:243	NOT-ASSERTION	n-a	n-a	section heading "### Key directories"
